"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","Shopping Cart Management","5","0","Add to Cart","0"
"0","","0","User Management","3","0","Get User Information","0"
"0","","0","Business Flow Tests","1","0","Full Cart Lifecycle","0"
"0","","0","Order Management","1","0","Delete Order","0"
"0","","0","Authentication","4","0","User Login","0"
"0","","0","Address Management","1","0","Delete Address","0"
"0","","0","Address Management","4","0","Add to Address","0"
"0","","0","Order Management","1","0","Add to Orders","0"
"0","","0","Shopping Cart Management","1","0","Query Cart Info","0"
"0","","0","Shopping Cart Operations","1","0","Update Cart Item","0"
"0","","0","Shopping Cart Operations","1","0","Delete Cart Item","0"
